ID	Purpose	Description	Evaluate Green (Grn-)	Evaluate Red (Red)	Expected Intensity	 Control Type
73726427	Negative	Negative 403	+	+	Background	Sample-Dependent
26678432	Negative	Negative 404	+	+	Background	Sample-Dependent
39628336	Negative	Negative 405	+	+	Background	Sample-Dependent
27748358	Negative	Negative 406	+	+	Background	Sample-Dependent
49792491	Negative	Negative 407	+	+	Background	Sample-Dependent
24685437	Negative	Negative 408	+	+	Background	Sample-Dependent
22694431	Negative	Negative 409	+	+	Background	Sample-Dependent
28717328	Negative	Negative 410	+	+	Background	Sample-Dependent
39799352	Negative	Negative 411	+	+	Background	Sample-Dependent
39617465	Negative	Negative 412	+	+	Background	Sample-Dependent
34739488	Negative	Negative 413	+	+	Background	Sample-Dependent
70623422	Negative	Negative 414	+	+	Background	Sample-Dependent
41655506	Negative	Negative 415	+	+	Background	Sample-Dependent
29790482	Negative	Negative 416	+	+	Background	Sample-Dependent
33717438	Negative	Negative 417	+	+	Background	Sample-Dependent
43667476	Negative	Negative 418	+	+	Background	Sample-Dependent
58795402	Negative	Negative 419	+	+	Background	Sample-Dependent
62691388	Negative	Negative 420	+	+	Background	Sample-Dependent
18608337	Negative	Negative 421	+	+	Background	Sample-Dependent
24750500	Negative	Negative 422	+	+	Background	Sample-Dependent
19659360	Negative	Negative 423	+	+	Background	Sample-Dependent
38712342	Negative	Negative 424	+	+	Background	Sample-Dependent
16764335	Negative	Negative 425	+	+	Background	Sample-Dependent
55765450	Negative	Negative 426	+	+	Background	Sample-Dependent
18763320	Negative	Negative 427	+	+	Background	Sample-Dependent
65645458	Negative	Negative 428	+	+	Background	Sample-Dependent
63642430	Negative	Negative 429	+	+	Background	Sample-Dependent
38762391	Negative	Negative 430	+	+	Background	Sample-Dependent
60779460	Negative	Negative 431	+	+	Background	Sample-Dependent
23760472	Negative	Negative 432	+	+	Background	Sample-Dependent
47739456	Negative	Negative 433	+	+	Background	Sample-Dependent
60603394	Negative	Negative 434	+	+	Background	Sample-Dependent
48728325	Negative	Negative 435	+	+	Background	Sample-Dependent
59664305	Negative	Negative 436	+	+	Background	Sample-Dependent
69706451	Negative	Negative 437	+	+	Background	Sample-Dependent
71663505	Negative	Negative 438	+	+	Background	Sample-Dependent
71628482	Negative	Negative 439	+	+	Background	Sample-Dependent
49600340	Negative	Negative 440	+	+	Background	Sample-Dependent
65789315	Negative	Negative 441	+	+	Background	Sample-Dependent
16662505	Negative	Negative 442	+	+	Background	Sample-Dependent
16650480	Negative	Negative 443	+	+	Background	Sample-Dependent
22674508	Negative	Negative 444	+	+	Background	Sample-Dependent
60708460	Negative	Negative 445	+	+	Background	Sample-Dependent
36642338	Negative	Negative 446	+	+	Background	Sample-Dependent
18663425	Negative	Negative 447	+	+	Background	Sample-Dependent
72602362	Negative	Negative 448	+	+	Background	Sample-Dependent
40807480	Negative	Negative 449	+	+	Background	Sample-Dependent
44746458	Negative	Negative 450	+	+	Background	Sample-Dependent
49669412	Negative	Negative 451	+	+	Background	Sample-Dependent
70683410	Negative	Negative 452	+	+	Background	Sample-Dependent
42762374	Negative	Negative 453	+	+	Background	Sample-Dependent
35719437	Negative	Negative 454	+	+	Background	Sample-Dependent
39656464	Negative	Negative 455	+	+	Background	Sample-Dependent
56698475	Negative	Negative 456	+	+	Background	Sample-Dependent
60644415	Negative	Negative 457	+	+	Background	Sample-Dependent
13650327	Negative	Negative 458	+	+	Background	Sample-Dependent
30675376	Negative	Negative 459	+	+	Background	Sample-Dependent
71734366	Negative	Negative 460	+	+	Background	Sample-Dependent
22688305	Negative	Negative 461	+	+	Background	Sample-Dependent
21705378	Negative	Negative 462	+	+	Background	Sample-Dependent
65676384	Negative	Negative 463	+	+	Background	Sample-Dependent
48639474	Negative	Negative 464	+	+	Background	Sample-Dependent
29617416	Negative	Negative 465	+	+	Background	Sample-Dependent
47764352	Negative	Negative 466	+	+	Background	Sample-Dependent
50792435	Negative	Negative 467	+	+	Background	Sample-Dependent
39742442	Negative	Negative 468	+	+	Background	Sample-Dependent
24684310	Negative	Negative 469	+	+	Background	Sample-Dependent
70610367	Negative	Negative 470	+	+	Background	Sample-Dependent
57726345	Negative	Negative 471	+	+	Background	Sample-Dependent
10721502	Negative	Negative 472	+	+	Background	Sample-Dependent
52742375	Negative	Negative 473	+	+	Background	Sample-Dependent
60726465	Negative	Negative 474	+	+	Background	Sample-Dependent
27668419	Negative	Negative 475	+	+	Background	Sample-Dependent
73697323	Negative	Negative 476	+	+	Background	Sample-Dependent
15719334	Negative	Negative 477	+	+	Background	Sample-Dependent
21643393	Negative	Negative 478	+	+	Background	Sample-Dependent
37720318	Negative	Negative 479	+	+	Background	Sample-Dependent
69752425	Negative	Negative 480	+	+	Background	Sample-Dependent
48693431	Negative	Negative 481	+	+	Background	Sample-Dependent
64601411	Negative	Negative 482	+	+	Background	Sample-Dependent
24705436	Negative	Negative 483	+	+	Background	Sample-Dependent
15740334	Negative	Negative 484	+	+	Background	Sample-Dependent
24728321	Negative	Negative 485	+	+	Background	Sample-Dependent
49680446	Negative	Negative 486	+	+	Background	Sample-Dependent
27691388	Negative	Negative 487	+	+	Background	Sample-Dependent
29657357	Negative	Negative 488	+	+	Background	Sample-Dependent
19612454	Negative	Negative 489	+	+	Background	Sample-Dependent
41705442	Negative	Negative 490	+	+	Background	Sample-Dependent
31645490	Negative	Negative 491	+	+	Background	Sample-Dependent
55673311	Negative	Negative 492	+	+	Background	Sample-Dependent
31635492	Negative	Negative 493	+	+	Background	Sample-Dependent
64683305	Negative	Negative 494	+	+	Background	Sample-Dependent
11748306	Negative	Negative 495	+	+	Background	Sample-Dependent
48730356	Negative	Negative 496	+	+	Background	Sample-Dependent
11694363	Negative	Negative 497	+	+	Background	Sample-Dependent
54665394	Negative	Negative 498	+	+	Background	Sample-Dependent
28772416	Negative	Negative 499	+	+	Background	Sample-Dependent
40747444	Negative	Negative 500	+	+	Background	Sample-Dependent
50809407	Negative	Negative 501	+	+	Background	Sample-Dependent
39679476	Negative	Negative 502	+	+	Background	Sample-Dependent
74738436	Negative	Negative 503	+	+	Background	Sample-Dependent
23734321	Negative	Negative 504	+	+	Background	Sample-Dependent
15783320	Negative	Negative 505	+	+	Background	Sample-Dependent
66703354	Negative	Negative 506	+	+	Background	Sample-Dependent
56793432	Negative	Negative 507	+	+	Background	Sample-Dependent
24744393	Negative	Negative 508	+	+	Background	Sample-Dependent
14762352	Negative	Negative 509	+	+	Background	Sample-Dependent
15794469	Negative	Negative 510	+	+	Background	Sample-Dependent
35761501	Negative	Negative 511	+	+	Background	Sample-Dependent
52677505	Negative	Negative 512	+	+	Background	Sample-Dependent
73601495	Negative	Negative 513	+	+	Background	Sample-Dependent
67640436	Negative	Negative 514	+	+	Background	Sample-Dependent
51617379	Negative	Negative 515	+	+	Background	Sample-Dependent
48683430	Negative	Negative 516	+	+	Background	Sample-Dependent
35714458	Negative	Negative 517	+	+	Background	Sample-Dependent
69652373	Negative	Negative 518	+	+	Background	Sample-Dependent
43724337	Negative	Negative 519	+	+	Background	Sample-Dependent
49658386	Negative	Negative 520	+	+	Background	Sample-Dependent
70766461	Negative	Negative 521	+	+	Background	Sample-Dependent
20661394	Negative	Negative 522	+	+	Background	Sample-Dependent
55669483	Negative	Negative 523	+	+	Background	Sample-Dependent
34630325	Negative	Negative 524	+	+	Background	Sample-Dependent
13710478	Negative	Negative 525	+	+	Background	Sample-Dependent
46635484	Negative	Negative 526	+	+	Background	Sample-Dependent
34779461	Negative	Negative 527	+	+	Background	Sample-Dependent
30762347	Negative	Negative 528	+	+	Background	Sample-Dependent
36808443	Negative	Negative 529	+	+	Background	Sample-Dependent
45708406	Negative	Negative 530	+	+	Background	Sample-Dependent
55670455	Negative	Negative 531	+	+	Background	Sample-Dependent
30689326	Negative	Negative 532	+	+	Background	Sample-Dependent
42643451	Negative	Negative 533	+	+	Background	Sample-Dependent
33730454	Negative	Negative 534	+	+	Background	Sample-Dependent
69659385	Negative	Negative 535	+	+	Background	Sample-Dependent
59731452	Negative	Negative 536	+	+	Background	Sample-Dependent
60632306	Negative	Negative 537	+	+	Background	Sample-Dependent
66793462	Negative	Negative 538	+	+	Background	Sample-Dependent
56737301	Negative	Negative 539	+	+	Background	Sample-Dependent
25621346	Negative	Negative 540	+	+	Background	Sample-Dependent
62653340	Negative	Negative 541	+	+	Background	Sample-Dependent
56781365	Negative	Negative 542	+	+	Background	Sample-Dependent
71762482	Negative	Negative 543	+	+	Background	Sample-Dependent
73667338	Negative	Negative 544	+	+	Background	Sample-Dependent
15769506	Negative	Negative 545	+	+	Background	Sample-Dependent
19775306	Negative	Negative 546	+	+	Background	Sample-Dependent
19625434	Negative	Negative 547	+	+	Background	Sample-Dependent
71775347	Negative	Negative 548	+	+	Background	Sample-Dependent
44618314	Negative	Negative 549	+	+	Background	Sample-Dependent
21635460	Negative	Negative 550	+	+	Background	Sample-Dependent
59684453	Negative	Negative 551	+	+	Background	Sample-Dependent
73789449	Negative	Negative 552	+	+	Background	Sample-Dependent
14719400	Negative	Negative 553	+	+	Background	Sample-Dependent
26658411	Negative	Negative 554	+	+	Background	Sample-Dependent
33765459	Negative	Negative 555	+	+	Background	Sample-Dependent
26769463	Negative	Negative 556	+	+	Background	Sample-Dependent
42768497	Negative	Negative 557	+	+	Background	Sample-Dependent
10744385	Negative	Negative 558	+	+	Background	Sample-Dependent
26648509	Negative	Negative 559	+	+	Background	Sample-Dependent
17796358	Negative	Negative 560	+	+	Background	Sample-Dependent
56626320	Negative	Negative 561	+	+	Background	Sample-Dependent
36803355	Negative	Negative 562	+	+	Background	Sample-Dependent
68601372	Negative	Negative 563	+	+	Background	Sample-Dependent
23631316	Negative	Negative 564	+	+	Background	Sample-Dependent
50636432	Negative	Negative 565	+	+	Background	Sample-Dependent
20666345	Negative	Negative 566	+	+	Background	Sample-Dependent
26669386	Negative	Negative 567	+	+	Background	Sample-Dependent
74720399	Negative	Negative 568	+	+	Background	Sample-Dependent
33657423	Negative	Negative 569	+	+	Background	Sample-Dependent
62672306	Negative	Negative 570	+	+	Background	Sample-Dependent
56602420	Negative	Negative 571	+	+	Background	Sample-Dependent
72656385	Negative	Negative 572	+	+	Background	Sample-Dependent
19658444	Negative	Negative 573	+	+	Background	Sample-Dependent
61721300	Negative	Negative 574	+	+	Background	Sample-Dependent
26665427	Negative	Negative 575	+	+	Background	Sample-Dependent
17799458	Negative	Negative 576	+	+	Background	Sample-Dependent
49700377	Negative	Negative 577	+	+	Background	Sample-Dependent
60632320	Negative	Negative 578	+	+	Background	Sample-Dependent
60755343	Negative	Negative 579	+	+	Background	Sample-Dependent
24809342	Negative	Negative 580	+	+	Background	Sample-Dependent
22705438	Negative	Negative 581	+	+	Background	Sample-Dependent
33651323	Negative	Negative 582	+	+	Background	Sample-Dependent
10731326	Negative	Negative 583	+	+	Background	Sample-Dependent
50699483	Negative	Negative 584	+	+	Background	Sample-Dependent
26770499	Negative	Negative 585	+	+	Background	Sample-Dependent
15727485	Negative	Negative 586	+	+	Background	Sample-Dependent
36733310	Negative	Negative 587	+	+	Background	Sample-Dependent
52665450	Negative	Negative 588	+	+	Background	Sample-Dependent
70717333	Negative	Negative 589	+	+	Background	Sample-Dependent
62632474	Negative	Negative 590	+	+	Background	Sample-Dependent
52672329	Negative	Negative 591	+	+	Background	Sample-Dependent
44760439	Negative	Negative 592	+	+	Background	Sample-Dependent
16673481	Negative	Negative 593	+	+	Background	Sample-Dependent
56788431	Negative	Negative 594	+	+	Background	Sample-Dependent
15797317	Negative	Negative 595	+	+	Background	Sample-Dependent
23740309	Negative	Negative 596	+	+	Background	Sample-Dependent
17641445	Negative	Negative 597	+	+	Background	Sample-Dependent
10760363	Negative	Negative 598	+	+	Background	Sample-Dependent
21620397	Negative	Negative 599	+	+	Background	Sample-Dependent
23786490	Negative	Negative 600	+	+	Background	Sample-Dependent
33677481	Negative	Negative 601	+	+	Background	Sample-Dependent
14777361	Negative	Negative 602	+	+	Background	Sample-Dependent
69729339	Negative	Negative 603	+	+	Background	Sample-Dependent
41636384	Negative	Negative 604	+	+	Background	Sample-Dependent
37710397	Negative	Negative 605	+	+	Background	Sample-Dependent
60682508	Negative	Negative 606	+	+	Background	Sample-Dependent
40713496	Negative	Negative 607	+	+	Background	Sample-Dependent
12641437	Negative	Negative 608	+	+	Background	Sample-Dependent
48797398	Negative	Negative 609	+	+	Background	Sample-Dependent
66764427	Negative	Negative 610	+	+	Background	Sample-Dependent
74654383	Negative	Negative 611	+	+	Background	Sample-Dependent
45807495	Negative	Negative 612	+	+	Background	Sample-Dependent
37634407	Negative	Negative 613	+	+	Background	Sample-Dependent
73603488	Negative	Negative 614	+	+	Background	Sample-Dependent
